Type,Area,Latitude,Longitude,Coordinates,Price(CZK),Region
2+1,47,50.035,14.3885,"(50.0351, 14.3886)",4190000,Praha 5
3+kk,97,50.0799,14.4476,"(50.0799, 14.4476)",9900000,Praha 3
3+1,76,50.01,14.4069,"(50.0101, 14.4069)",4990000,Praha 12
1+kk,25,50.0743,14.405,"(50.0743, 14.405)",3000000,Praha 5
2+kk,44,50.0731,14.4427,"(50.0731, 14.4427)",6800000,Praha 2
1+kk,26,50.078,14.4227,"(50.078, 14.4228)",6900000,Praha 1
2+kk,49,50.0695,14.374,"(50.0695, 14.374)",4990000,Praha 5
4+1,120,50.0897,14.4192,"(50.0897, 14.4192)",35000000,Praha 1
2+kk,58,50.0791,14.4559,"(50.0791, 14.456)",5450000,Praha 3
1+kk,26,50.0791,14.4559,"(50.0791, 14.456)",2350000,Praha 3
2+kk,53,50.0787,14.4541,"(50.0787, 14.4542)",10500000,Praha 3
1+kk,26,50.0787,14.4541,"(50.0787, 14.4542)",5500000,Praha 3
2+kk,51,50.0695,14.4168,"(50.0696, 14.4169)",7490000,Praha 2
3+1,78,50.0069,14.4513,"(50.0069, 14.4513)",5999000,Praha 12
4+kk,87,50.0369,14.338,"(50.037, 14.338)",6690000,Praha 13
1+1,30,50.0082,14.4208,"(50.0082, 14.4209)",3389000,Praha 12
2+1,54,50.0891,14.3468,"(50.0892, 14.3468)",4950000,Praha 6
3+1,71,50.0728,14.4687,"(50.0728, 14.4687)",5700000,Praha 10
1+kk,54,50.1281,14.5019,"(50.1282, 14.502)",4399000,Praha 18
3+1,91,50.0755,14.4081,"(50.0756, 14.4082)",12982000,Praha 5
5+kk,171,50.0961,14.4519,"(50.0962, 14.4519)",26180000,Praha 8
3+kk,79,50.1178,14.4735,"(50.1178, 14.4736)",9120000,Praha 8
4+1,78,50.0421,14.4565,"(50.0422, 14.4566)",8000000,Praha 4
2+kk,40,50.0868,14.4041,"(50.0868, 14.4042)",7960000,Praha 1
2+kk,53,50.0906,14.4219,"(50.0906, 14.4219)",7430000,Praha 1
3+1,79,50.0702,14.4048,"(50.0702, 14.4048)",10990000,Praha 5
4+1,90,50.1426,14.5776,"(50.1426, 14.5777)",6090000,Vinor
3+1,80,50.1043,14.479,"(50.1043, 14.4791)",5400000,Praha 8
3+kk,89,50.1147,14.4862,"(50.1148, 14.4863)",8683000,Praha 8
3+1,94,50.0856,14.4216,"(50.0856, 14.4216)",12990000,Praha 1
1+kk,24,50.0781,14.4347,"(50.0782, 14.4348)",3990000,Praha 2
3+1,86,50.0289,14.365,"(50.0289, 14.3651)",8590000,Praha 5
3+kk,72,50.0573,14.4293,"(50.0574, 14.4293)",7900000,Praha 4
2+1,60,50.0774,14.4266,"(50.0774, 14.4266)",8900000,Praha 1
3+kk,80,50.0917,14.4266,"(50.0917, 14.4266)",7990000,Praha 1
4+kk,69,50.0773,14.4335,"(50.0773, 14.4336)",9890000,Praha 2
1+1,250,50.0894,14.4258,"(50.0894, 14.4259)",29950000,Praha 1
3+1,50,50.0902,14.426,"(50.0903, 14.4261)",8950000,Praha 1
3+1,116,50.1049,14.3948,"(50.1049, 14.3949)",11390000,Praha 6
4+1,128,50.0897,14.4192,"(50.0897, 14.4192)",29000000,Praha 1
3+kk,82,50.0754,14.438,"(50.0755, 14.4381)",13000000,Praha 2
4+kk,315,50.0845,14.4177,"(50.0846, 14.4178)",45000000,Praha 1
1+kk,45,50.0783,14.4563,"(50.0784, 14.4563)",3400000,Praha 3
1+kk,45,50.0592,14.5788,"(50.0593, 14.5789)",4690000,Dubec
2+kk,50,50.0209,14.4026,"(50.021, 14.4027)",4975714,Praha 4
2+1,65,50.1057,14.5656,"(50.1057, 14.5656)",4999000,Praha 14
2+kk,64,50.0585,14.3771,"(50.0586, 14.3772)",5290000,Praha 5
3+1,81,50.1027,14.5696,"(50.1028, 14.5697)",5210000,Praha 14
5+kk,118,50.0715,14.6809,"(50.0716, 14.681)",6990000,Praha 21
2+kk,80,50.0065,14.4551,"(50.0065, 14.4551)",6880000,Praha 12
3+kk,125,50.0784,14.4433,"(50.0784, 14.4434)",18700000,Praha 2
1+kk,24,50.0769,14.456,"(50.077, 14.4561)",3890000,Praha 3
2+1,116,50.0865,14.4323,"(50.0866, 14.4323)",18942000,Praha 1
1+1,44,50.0684,14.438,"(50.0685, 14.4381)",4965000,Praha 2
6-a-vice,158,50.0757,14.421,"(50.0758, 14.4211)",19490000,Praha 2
4+kk,134,50.0702,14.3803,"(50.0702, 14.3803)",13800000,Praha 5
4+1,135,50.0833,14.3635,"(50.0833, 14.3636)",11990000,Praha 6
3+1,70,50.0428,14.4378,"(50.0428, 14.4379)",5750000,Praha 4
3+kk,90,50.0707,14.4577,"(50.0707, 14.4578)",9999000,Praha 10
3+kk,92,50.0795,14.4502,"(50.0795, 14.4502)",12500000,Praha 3
4+kk,87,50.0301,14.594,"(50.0302, 14.594)",7890000,Praha 22
3+1,81,50.0349,14.4182,"(50.0349, 14.4182)",6700000,Praha 4
4+kk,84,50.0304,14.5948,"(50.0304, 14.5949)",7650000,Praha 22
4+kk,133,50.0961,14.4507,"(50.0962, 14.4508)",23500000,Praha 8
3+kk,104,50.0725,14.4395,"(50.0726, 14.4396)",14900000,Praha 2
3+kk,70,50.0735,14.351,"(50.0735, 14.3511)",6900000,Praha 5
3+kk,84,50.0783,14.4563,"(50.0784, 14.4563)",8950000,Praha 3
3+kk,120,50.0753,14.4566,"(50.0753, 14.4566)",16799999,Praha 10
3+kk,107,50.0753,14.4039,"(50.0754, 14.4039)",13200000,Praha 5
3+kk,92,50.0753,14.4039,"(50.0754, 14.4039)",12800000,Praha 5
4+kk,157,50.065,14.4274,"(50.065, 14.4275)",14900000,Praha 2
3+kk,80,50.0897,14.4837,"(50.0897, 14.4838)",9990000,Praha 3
1+kk,24,50.0585,14.3751,"(50.0586, 14.3752)",2946000,Praha 5
4+kk,329,50.0865,14.4323,"(50.0866, 14.4323)",41928000,Praha 1
4+kk,142,50.0543,14.4946,"(50.0544, 14.4946)",25000000,Praha 10
2+kk,55,50.0922,14.4316,"(50.0923, 14.4317)",7700000,Praha 1
3+kk,75,50.0428,14.3096,"(50.0428, 14.3096)",7999179,Reporyje
3+kk,75,50.0428,14.3096,"(50.0428, 14.3096)",7994436,Reporyje
2+kk,83,50.0934,14.4562,"(50.0934, 14.4563)",8990000,Praha 8
2+kk,40,50.0811,14.4594,"(50.0811, 14.4595)",4590000,Praha 3
3+kk,71,50.0428,14.4598,"(50.0429, 14.4598)",5199000,Praha 4
2+kk,55,50.0658,14.3937,"(50.0658, 14.3938)",8490000,Praha 5
1+kk,42,50.0444,14.3243,"(50.0444, 14.3243)",4829000,Praha 13
3+kk,99,50.0899,14.3319,"(50.0899, 14.332)",10970000,Praha 6
2+kk,46,50.0879,14.4099,"(50.088, 14.4099)",11000000,Praha 1
3+kk,99,50.1219,14.4468,"(50.1219, 14.4469)",12300000,Praha 8
2+kk,86,50.0921,14.4422,"(50.0922, 14.4423)",9793503,Praha 8
2+kk,55,50.0579,14.3292,"(50.058, 14.3292)",5750000,Praha 13
3+kk,83,50.0671,14.4,"(50.0671, 14.4001)",9870000,Praha 5
3+kk,74,50.12,14.446,"(50.12, 14.446)",8650000,Praha 8
2+kk,65,50.0444,14.3243,"(50.0444, 14.3243)",6858000,Praha 13
3+kk,84,50.0444,14.3243,"(50.0444, 14.3243)",7687000,Praha 13
1+kk,41,50.0444,14.3243,"(50.0444, 14.3243)",4629000,Praha 13
3+kk,92,50.0444,14.3243,"(50.0444, 14.3243)",8498000,Praha 13
4+kk,94,50.0421,14.3215,"(50.0421, 14.3216)",5264350,Praha 13
2+kk,43,50.0726,14.4293,"(50.0726, 14.4293)",6290000,Praha 2
2+kk,97,50.0849,14.4192,"(50.0849, 14.4193)",15400000,Praha 1
4+kk,184,50.0878,14.3899,"(50.0879, 14.3899)",20500000,Praha 1
2+kk,53,50.064,14.4096,"(50.064, 14.4097)",7260000,Praha 5
2+kk,43,50.103,14.5806,"(50.103, 14.5807)",4350000,Praha 14
3+kk,127,50.0945,14.4472,"(50.0945, 14.4472)",16900000,Praha 8
4+kk,114,50.0933,14.4542,"(50.0933, 14.4542)",16250000,Praha 8
2+kk,53,50.0679,14.4079,"(50.0679, 14.4079)",6029000,Praha 5
2+kk,42,50.0679,14.4079,"(50.0679, 14.4079)",5099000,Praha 5
1+kk,31,50.0014,14.4309,"(50.0014, 14.431)",3690000,Praha 12
3+kk,94,50.0664,14.4558,"(50.0664, 14.4558)",5500000,Praha 10
2+1,58,50.0434,14.4568,"(50.0435, 14.4568)",4490000,Praha 4
3+1,97,50.0153,14.4745,"(50.0153, 14.4745)",8690000,Kunratice
2+kk,47,50.1062,14.4716,"(50.1063, 14.4716)",2800000,Praha 8
3+kk,93,50.1007,14.3438,"(50.1007, 14.3438)",9790000,Praha 6
2+1,76,50.0835,14.452,"(50.0835, 14.452)",8993000,Praha 3
4+1,100,50.1057,14.5656,"(50.1057, 14.5656)",2980000,Praha 14
1+kk,42,50.0706,14.3771,"(50.0706, 14.3771)",4310000,Praha 5
2+1,42,50.106,14.4465,"(50.1061, 14.4465)",4520000,Praha 7
3+kk,76,50.0698,14.3666,"(50.0698, 14.3667)",10500000,Praha 5
2+kk,45,50.0303,14.5335,"(50.0303, 14.5335)",3990000,Praha 11
4+1,146,50.0835,14.4324,"(50.0835, 14.4325)",16990000,Praha 1
4+kk,113,50.1297,14.4927,"(50.1297, 14.4927)",7725000,Praha 9
1+kk,14,50.0754,14.438,"(50.0755, 14.4381)",2970000,Praha 2
3+kk,87,50.093,14.5083,"(50.0931, 14.5084)",7490000,Praha 9
3+1,103,50.1161,14.5045,"(50.1162, 14.5045)",7522270,Praha 9
3+kk,76,50.1179,14.4941,"(50.118, 14.4942)",16900000,Praha 9
3+1,115,50.0745,14.4084,"(50.0746, 14.4085)",12900000,Praha 5
2+kk,60,50.0756,14.4084,"(50.0756, 14.4084)",7200000,Praha 5
4+kk,120,50.104,14.5083,"(50.104, 14.5083)",12891755,Praha 9
3+kk,65,50.0285,14.3667,"(50.0286, 14.3667)",7408758,Praha 5
2+kk,49,50.0285,14.3667,"(50.0286, 14.3667)",5694802,Praha 5
3+kk,63,50.0285,14.3667,"(50.0286, 14.3667)",7308517,Praha 5
2+kk,48,50.0285,14.3667,"(50.0286, 14.3667)",5633790,Praha 5
3+kk,64,50.0285,14.3667,"(50.0286, 14.3667)",7432254,Praha 5
2+kk,48,50.0285,14.3667,"(50.0286, 14.3667)",5847322,Praha 5
1+kk,34,50.0285,14.3667,"(50.0286, 14.3667)",4484369,Praha 5
2+kk,47,50.0285,14.3667,"(50.0286, 14.3667)",5467032,Praha 5
3+kk,66,50.0285,14.3667,"(50.0286, 14.3667)",7626780,Praha 5
3+kk,65,50.0285,14.3667,"(50.0286, 14.3667)",7428579,Praha 5
2+kk,49,50.0285,14.3667,"(50.0286, 14.3667)",5821955,Praha 5
3+kk,63,50.0285,14.3667,"(50.0286, 14.3667)",7375225,Praha 5
3+kk,64,50.0285,14.3667,"(50.0286, 14.3667)",7583025,Praha 5
2+kk,48,50.0285,14.3667,"(50.0286, 14.3667)",5988717,Praha 5
2+kk,47,50.0285,14.3667,"(50.0286, 14.3667)",5589842,Praha 5
2+kk,44,50.0285,14.3667,"(50.0286, 14.3667)",5182397,Praha 5
3+kk,65,50.0285,14.3667,"(50.0286, 14.3667)",7665485,Praha 5
2+kk,50,50.0285,14.3667,"(50.0286, 14.3667)",6009271,Praha 5
2+kk,53,50.0633,14.475,"(50.0633, 14.4751)",5650000,Praha 10
1+kk,25,50.0685,14.4382,"(50.0686, 14.4383)",2940000,Praha 2
1+kk,56,50.1043,14.5854,"(50.1044, 14.5854)",4639000,Praha 14
3+kk,75,50.0742,14.4301,"(50.0742, 14.4301)",9562000,Praha 2
2+kk,81,50.049,14.4359,"(50.0491, 14.436)",14500000,Praha 4
1+kk,57,50.049,14.4359,"(50.0491, 14.436)",9980000,Praha 4
4+kk,90,50.078,14.4227,"(50.078, 14.4228)",11990000,Praha 1
1+kk,30,50.0783,14.4229,"(50.0784, 14.4229)",3990000,Praha 1
3+kk,140,50.0533,14.4235,"(50.0533, 14.4235)",13990000,Praha 4
3+1,112,50.0705,14.4147,"(50.0705, 14.4148)",12500000,Praha 2
3+1,103,50.0755,14.449,"(50.0756, 14.449)",12990000,Praha 2
1+kk,26,50.0675,14.4001,"(50.0676, 14.4001)",3495000,Praha 5
4+kk,112,50.104,14.5083,"(50.104, 14.5083)",9240605,Praha 9
3+kk,84,50.104,14.5083,"(50.104, 14.5083)",7491857,Praha 9
1+kk,38,50.1418,14.524,"(50.1418, 14.524)",4350000,Praha 18
4+kk,116,49.9632,14.3839,"(49.9633, 14.3839)",10890000,Zbraslav
4+1,129,50.0565,14.4413,"(50.0565, 14.4414)",9000000,Praha 4
3+kk,83,50.104,14.5083,"(50.104, 14.5083)",7445569,Praha 9
2+kk,54,50.104,14.5083,"(50.104, 14.5083)",5164599,Praha 9
3+kk,96,50.0959,14.3436,"(50.096, 14.3437)",10100600,Praha 6
5+kk,168,50.0728,14.3962,"(50.0728, 14.3963)",25292400,Praha 5
4+kk,119,50.0728,14.3962,"(50.0728, 14.3963)",15753500,Praha 5
2+kk,67,50.0959,14.3436,"(50.096, 14.3437)",7588000,Praha 6
3+kk,102,50.0781,14.4522,"(50.0781, 14.4523)",16750000,Praha 3
6-a-vice,318,50.0092,14.3858,"(50.0093, 14.3858)",42025000,Velka Chuchle
4+kk,104,50.0786,14.4485,"(50.0787, 14.4485)",21980000,Praha 3
2+kk,69,50.044,14.4162,"(50.0441, 14.4162)",9900000,Praha 4
4+kk,136,50.0092,14.3858,"(50.0093, 14.3858)",19360000,Velka Chuchle
3+kk,82,50.0728,14.3962,"(50.0728, 14.3963)",11196900,Praha 5
4+kk,112,50.044,14.4162,"(50.0441, 14.4162)",17490000,Praha 4
1+kk,22,50.0786,14.4485,"(50.0787, 14.4485)",3980000,Praha 3
5+kk,170,50.1042,14.4586,"(50.1042, 14.4587)",22700000,Praha 7
3+kk,104,50.044,14.4162,"(50.0441, 14.4162)",17750000,Praha 4
2+kk,57,50.0728,14.3962,"(50.0728, 14.3963)",7615200,Praha 5
2+kk,57,50.0787,14.4486,"(50.0788, 14.4486)",11980000,Praha 3
2+kk,67,50.044,14.4162,"(50.0441, 14.4162)",11400000,Praha 4
2+kk,61,50.0728,14.3962,"(50.0728, 14.3963)",8476300,Praha 5
3+kk,72,50.1152,14.4683,"(50.1153, 14.4683)",9100000,Praha 8
3+kk,86,50.0202,14.4084,"(50.0203, 14.4084)",8700000,Praha 4
3+kk,86,50.0202,14.4084,"(50.0203, 14.4084)",10036000,Praha 4
4+kk,143,50.1166,14.4168,"(50.1166, 14.4169)",23000000,Troja
3+kk,92,50.1166,14.4168,"(50.1166, 14.4169)",16000000,Troja
2+kk,51,50.104,14.5083,"(50.104, 14.5083)",5010567,Praha 9
3+1,68,50.0668,14.367,"(50.0669, 14.367)",5662000,Praha 5
2+1,54,50.0545,14.5123,"(50.0545, 14.5124)",4630000,Praha 10
1+kk,34,50.104,14.5083,"(50.104, 14.5083)",3922053,Praha 9
2+kk,59,50.1041,14.5204,"(50.1041, 14.5204)",5407308,Praha 9
4+kk,108,50.0956,14.4695,"(50.0956, 14.4696)",12135235,Praha 8
1+kk,35,50.1097,14.4463,"(50.1098, 14.4463)",4295771,Praha 7
4+kk,116,50.1097,14.4463,"(50.1098, 14.4463)",19138088,Praha 7
3+kk,76,50.1097,14.4463,"(50.1098, 14.4463)",8232485,Praha 7
2+kk,55,50.0909,14.2975,"(50.0909, 14.2975)",5128516,Praha 6
3+kk,75,50.029,14.3622,"(50.029, 14.3623)",8003254,Praha 5
3+kk,93,50.0463,14.3027,"(50.0463, 14.3027)",8332254,Praha 13
1+kk,26,50.0803,14.4354,"(50.0803, 14.4355)",4499000,Praha 2
3+1,105,50.0762,14.4167,"(50.0763, 14.4167)",11550000,Praha 2
4+kk,188,50.086,14.4693,"(50.086, 14.4693)",16700000,Praha 3
atypicky,165,50.0738,14.3895,"(50.0738, 14.3895)",11500000,Praha 5
2+1,113,50.0927,14.4298,"(50.0928, 14.4298)",13980000,Praha 1
1+kk,49,50.0659,14.4337,"(50.0659, 14.4337)",5200000,Praha 2
3+1,85,50.0577,14.4885,"(50.0577, 14.4885)",6700000,Praha 10
4+kk,101,50.046,14.4244,"(50.046, 14.4245)",10997000,Praha 4
4+1,110,50.0742,14.3948,"(50.0742, 14.3948)",12000000,Praha 5
3+kk,204,50.0673,14.3431,"(50.0673, 14.3431)",19997000,Praha 5
3+1,80,50.0415,14.3235,"(50.0416, 14.3236)",5100000,Praha 13
2+kk,61,50.0362,14.33,"(50.0362, 14.33)",6250000,Praha 13
4+kk,156,50.0341,14.3979,"(50.0342, 14.3979)",19997000,Praha 5
4+kk,95,50.0742,14.4301,"(50.0742, 14.4301)",15883000,Praha 2
2+kk,90,50.092,14.4496,"(50.0921, 14.4496)",10890000,Praha 8
3+kk,82,50.0942,14.3673,"(50.0942, 14.3673)",12835277,Praha 6
atypicky,140,50.105,14.3888,"(50.1051, 14.3889)",15700000,Praha 6
1+kk,32,49.9953,14.4702,"(49.9954, 14.4702)",3500000,Libus
2+kk,69,50.1171,14.4485,"(50.1171, 14.4485)",6790000,Praha 8
2+kk,42,50.0324,14.538,"(50.0324, 14.538)",3990000,Praha 11
1+kk,23,50.1268,14.4646,"(50.1268, 14.4646)",2800000,Praha 8
3+1,74,50.036,14.3413,"(50.0361, 14.3414)",5600000,Praha 13
2+kk,63,50.0835,14.4341,"(50.0835, 14.4341)",8358794,Praha 1
3+kk,81,50.0835,14.4341,"(50.0835, 14.4341)",10315796,Praha 1
3+kk,70,50.0835,14.4341,"(50.0835, 14.4341)",9763608,Praha 1
3+kk,145,50.1045,14.4698,"(50.1045, 14.4699)",13650000,Praha 8
2+kk,50,50.0529,14.4182,"(50.053, 14.4182)",4290000,Praha 4
4+kk,85,50.0593,14.2889,"(50.0594, 14.289)",7250000,Zlicin
1+kk,48,50.1108,14.4995,"(50.1108, 14.4996)",4890000,Praha 9
3+kk,96,50.0738,14.4358,"(50.0738, 14.4359)",14510000,Praha 2
2+kk,59,50.1333,14.5066,"(50.1333, 14.5067)",5290000,Praha 18
1+kk,54,50.1007,14.5061,"(50.1008, 14.5062)",4430000,Praha 9
3+kk,75,50.1007,14.5061,"(50.1008, 14.5062)",6900000,Praha 9
2+kk,50,50.1007,14.5061,"(50.1008, 14.5062)",5250000,Praha 9
1+kk,54,50.1007,14.5061,"(50.1008, 14.5062)",4480000,Praha 9
3+kk,73,50.1007,14.5061,"(50.1008, 14.5062)",6750000,Praha 9
2+kk,50,50.1007,14.5061,"(50.1008, 14.5062)",5150000,Praha 9
2+kk,51,50.1007,14.5061,"(50.1008, 14.5062)",5250000,Praha 9
2+1,48,50.0651,14.4524,"(50.0651, 14.4525)",4700000,Praha 10
3+1,121,50.0735,14.4449,"(50.0735, 14.4449)",16450000,Praha 2
3+kk,52,50.0818,14.505,"(50.0818, 14.505)",4300000,Praha 10
2+kk,75,49.9884,14.4453,"(49.9885, 14.4454)",9490000,Praha 12
1+kk,48,50.0317,14.5984,"(50.0317, 14.5984)",3999000,Praha 22
5+kk,155,50.0636,14.4542,"(50.0636, 14.4542)",11990000,Praha 10
atypicky,445,50.0865,14.4323,"(50.0866, 14.4323)",59870000,Praha 1
4+kk,162,50.0652,14.3783,"(50.0653, 14.3783)",17490000,Praha 5
1+kk,27,50.0691,14.4375,"(50.0692, 14.4376)",4441000,Praha 2
1+kk,31,50.1065,14.473,"(50.1066, 14.4731)",4226000,Praha 8
1+kk,73,50.0835,14.452,"(50.0835, 14.452)",7993000,Praha 3
3+1,69,50.0543,14.3993,"(50.0543, 14.3993)",6550000,Praha 5
2+kk,65,50.0585,14.3771,"(50.0586, 14.3772)",4990000,Praha 5
2+kk,50,50.0784,14.4577,"(50.0784, 14.4578)",6790000,Praha 3
4+kk,119,50.104,14.5083,"(50.104, 14.5083)",13491439,Praha 9
1+1,39,50.0844,14.4517,"(50.0844, 14.4518)",4390000,Praha 3
3+kk,114,50.0706,14.4077,"(50.0706, 14.4078)",10990000,Praha 5
2+1,64,50.0139,14.4371,"(50.014, 14.4371)",4000000,Praha 12
3+1,102,50.0875,14.406,"(50.0875, 14.406)",16500000,Praha 1
4+1,122,50.0501,14.3389,"(50.0501, 14.339)",9300000,Praha 13
2+kk,66,50.0855,14.3929,"(50.0855, 14.393)",11900000,Praha 1
2+kk,55,50.1017,14.4461,"(50.1017, 14.4461)",5150000,Praha 7
3+kk,61,50.023,14.4263,"(50.023, 14.4264)",7100000,Praha 4
4+kk,110,50.0284,14.3626,"(50.0285, 14.3627)",11950000,Praha 5
3+kk,75,50.0574,14.4676,"(50.0575, 14.4676)",9490000,Praha 10
2+kk,44,50.0893,14.4662,"(50.0894, 14.4662)",4200000,Praha 3
2+1,81,50.0764,14.4071,"(50.0765, 14.4071)",9900000,Praha 5
3+kk,98,50.0998,14.4011,"(50.0999, 14.4011)",11450000,Praha 6
2+1,75,50.0748,14.4241,"(50.0749, 14.4241)",8500000,Praha 2
2+kk,50,50.0421,14.3215,"(50.0421, 14.3216)",4150000,Praha 13
3+kk,86,50.0623,14.4502,"(50.0623, 14.4503)",9490000,Praha 4
2+kk,47,50.0622,14.4487,"(50.0622, 14.4488)",4100000,Praha 4
2+kk,42,50.1316,14.4251,"(50.1316, 14.4252)",4150000,Praha 8
3+kk,81,50.0663,14.4278,"(50.0663, 14.4279)",7960000,Praha 2
atypicky,198,50.0966,14.34,"(50.0967, 14.34)",24584800,Praha 6
1+kk,23,50.0585,14.3751,"(50.0586, 14.3752)",2752000,Praha 5
2+1,57,50.0865,14.4088,"(50.0866, 14.4088)",15500000,Praha 1
2+kk,49,50.0835,14.4341,"(50.0835, 14.4341)",5090000,Praha 1
2+kk,58,50.0334,14.5875,"(50.0335, 14.5876)",5200000,Praha 22
4+kk,86,50.1298,14.382,"(50.1298, 14.382)",8500000,Suchdol
3+1,80,50.0992,14.4688,"(50.0993, 14.4689)",6480000,Praha 8
2+kk,61,50.0668,14.4959,"(50.0669, 14.496)",6500000,Praha 10
2+1,60,50.0603,14.4967,"(50.0603, 14.4968)",4600000,Praha 10
4+1,144,50.0754,14.4264,"(50.0754, 14.4265)",13990000,Praha 2
1+kk,69,50.1281,14.5019,"(50.1282, 14.502)",5190000,Praha 18
2+kk,41,50.0745,14.4293,"(50.0745, 14.4293)",6390000,Praha 2
3+kk,54,50.0468,14.4936,"(50.0468, 14.4936)",5490000,Praha 4
3+1,75,50.0706,14.3754,"(50.0706, 14.3754)",6590000,Praha 5
4+kk,74,50.1255,14.4097,"(50.1256, 14.4098)",6766200,Praha 8
3+kk,73,50.0659,14.4334,"(50.0659, 14.4335)",6900000,Praha 2
3+kk,70,50.1073,14.5676,"(50.1073, 14.5676)",6860000,Praha 14
1+kk,24,50.0585,14.3771,"(50.0586, 14.3772)",2934000,Praha 5
2+kk,42,50.057,14.2829,"(50.0571, 14.283)",4590000,Zlicin
2+kk,53,50.0942,14.5355,"(50.0942, 14.5355)",6267200,Praha 14
1+kk,32,50.1057,14.4915,"(50.1058, 14.4915)",3980400,Praha 9
2+kk,52,50.106,14.5332,"(50.106, 14.5332)",5416446,Praha 14
2+kk,54,50.0434,14.4914,"(50.0435, 14.4915)",5154633,Praha 4
1+kk,39,50.0434,14.4914,"(50.0435, 14.4915)",4058406,Praha 4
2+kk,42,50.117,14.6299,"(50.117, 14.6299)",4190000,Praha 20
1+1,41,50.0247,14.4308,"(50.0247, 14.4308)",3670000,Praha 4
3+kk,100,50.0981,14.3546,"(50.0982, 14.3546)",11900000,Praha 6
4+kk,100,50.1023,14.3622,"(50.1024, 14.3623)",16000000,Praha 6
2+kk,67,50.0585,14.3771,"(50.0586, 14.3772)",4994000,Praha 5
2+1,80,50.0736,14.4779,"(50.0737, 14.478)",5890000,Praha 10
3+kk,54,50.0691,14.4375,"(50.0692, 14.4376)",7381000,Praha 2
5+1,158,50.0762,14.424,"(50.0762, 14.424)",16990000,Praha 2
1+kk,45,50.0135,14.4007,"(50.0135, 14.4007)",5450000,Praha 12
3+kk,96,50.0763,14.4288,"(50.0763, 14.4289)",10990000,Praha 2
4+1,140,50.05,14.3419,"(50.05, 14.3419)",10360000,Praha 13
4+kk,140,50.05,14.3419,"(50.05, 14.3419)",10360000,Praha 13
2+kk,74,50.0834,14.4648,"(50.0834, 14.4649)",8490000,Praha 3
1+1,27,50.0665,14.3673,"(50.0665, 14.3673)",3190000,Praha 5
3+1,75,50.1007,14.4281,"(50.1007, 14.4282)",8300000,Praha 7
1+kk,39,50.1053,14.4441,"(50.1054, 14.4441)",4600000,Praha 7
3+kk,68,50.0579,14.4894,"(50.0579, 14.4894)",5300000,Praha 10
2+kk,39,50.072,14.4321,"(50.072, 14.4321)",5270000,Praha 2
4+kk,123,50.1218,14.4704,"(50.1218, 14.4705)",14500000,Praha 8
2+1,52,50.0842,14.4039,"(50.0842, 14.4039)",9000000,Praha 1
5+1,150,50.0992,14.4305,"(50.0992, 14.4305)",15490000,Praha 7
4+kk,105,50.0405,14.5572,"(50.0405, 14.5572)",7100000,Praha 15
2+kk,56,50.0707,14.4394,"(50.0707, 14.4395)",8399000,Praha 2
4+kk,76,50.1494,14.5236,"(50.1494, 14.5236)",6995000,Cakovice
4+kk,87,50.1355,14.4378,"(50.1356, 14.4378)",9490000,Praha 8
3+kk,103,50.0935,14.4595,"(50.0936, 14.4596)",14220000,Praha 8
2+kk,65,50.0862,14.4482,"(50.0863, 14.4482)",5800000,Praha 3
3+kk,68,50.1024,14.4452,"(50.1025, 14.4452)",7900000,Praha 7
3+1,82,50.0109,14.4663,"(50.0109, 14.4663)",4790000,Libus
2+1,56,50.0831,14.3584,"(50.0832, 14.3584)",6825000,Praha 6
2+kk,58,50.0727,14.3931,"(50.0728, 14.3932)",7511000,Praha 5
2+1,62,50.0884,14.3248,"(50.0885, 14.3248)",5499000,Praha 6
3+kk,71,50.1089,14.5361,"(50.1089, 14.5362)",5590000,Praha 14
2+kk,62,50.0857,14.5754,"(50.0857, 14.5755)",5470265,Dolni Pocernice
3+kk,93,50.0857,14.5754,"(50.0857, 14.5755)",7537014,Dolni Pocernice
2+kk,56,50.0635,14.444,"(50.0636, 14.4441)",6176000,Praha 4
2+kk,181,50.1116,14.3903,"(50.1116, 14.3904)",7600000,Praha 6
1+kk,24,50.0688,14.4379,"(50.0688, 14.4379)",2970000,Praha 2
2+kk,103,50.0769,14.4191,"(50.077, 14.4192)",9800000,Praha 2
3+1,96,50.0699,14.4722,"(50.07, 14.4722)",8900000,Praha 10
3+kk,109,50.0849,14.4847,"(50.0849, 14.4847)",13017692,Praha 3
4+kk,147,50.0741,14.4092,"(50.0741, 14.4092)",18900000,Praha 5
2+kk,46,50.0457,14.5607,"(50.0457, 14.5608)",4290000,Praha 15
2+kk,44,50.0713,14.6792,"(50.0714, 14.6792)",3450000,Praha 21
3+kk,135,50.016,14.5301,"(50.0161, 14.5302)",10900000,Ujezd
2+kk,104,49.9637,14.3844,"(49.9637, 14.3845)",7390000,Zbraslav
4+1,96,50.1026,14.5697,"(50.1027, 14.5698)",2650000,Praha 14
2+kk,54,50.0488,14.3428,"(50.0488, 14.3428)",4490000,Praha 13
3+1,92,50.0744,14.4458,"(50.0744, 14.4458)",11100000,Praha 2
3+kk,90,50.1016,14.4209,"(50.1016, 14.4209)",14000000,Praha 7
4+kk,114,50.0586,14.2827,"(50.0586, 14.2827)",13500000,Zlicin
2+kk,51,50.0637,14.4442,"(50.0637, 14.4442)",4990000,Praha 4
