Type,Area,Latitude,Longitude,Coordinates,Price(CZK),Region
3+1,80,50.0919,14.4803,"(50.0919, 14.4804)",7200000,Praha 3
3+1,90,50.1389,14.4287,"(50.139, 14.4287)",5300000,Praha 8
3+1,76,50.106,14.4766,"(50.1061, 14.4767)",5950000,Praha 8
1+1,50,50.0708,14.4876,"(50.0708, 14.4877)",5250000,Praha 10
3+1,114,50.0753,14.4494,"(50.0754, 14.4495)",13990000,Praha 10
3+kk,70,50.0893,14.4233,"(50.0894, 14.4234)",10600000,Praha 1
2+kk,61,50.0953,14.4535,"(50.0954, 14.4536)",8708000,Praha 8
2+1,57,50.0567,14.442,"(50.0567, 14.4421)",5490000,Praha 4
3+kk,130,50.0406,14.436,"(50.0406, 14.4361)",13350000,Praha 4
3+1,73,50.0692,14.5022,"(50.0692, 14.5023)",5980000,Praha 10
3+kk,69,50.0554,14.4896,"(50.0554, 14.4897)",6465000,Praha 10
1+kk,40,50.0953,14.4535,"(50.0954, 14.4536)",5769000,Praha 8
4+1,120,50.0685,14.4971,"(50.0686, 14.4971)",9850000,Praha 10
2+1,60,50.0701,14.4569,"(50.0701, 14.457)",5990000,Praha 10
2+1,59,50.0711,14.4703,"(50.0711, 14.4703)",5610000,Praha 10
4+kk,109,50.0459,14.4528,"(50.0459, 14.4528)",9480000,Praha 4
3+kk,87,50.0683,14.4042,"(50.0683, 14.4042)",11323000,Praha 5
2+1,54,50.0566,14.5127,"(50.0567, 14.5128)",4490000,Praha 10
2+1,59,50.0677,14.496,"(50.0678, 14.496)",4100000,Praha 10
2+kk,54,50.1422,14.3828,"(50.1423, 14.3828)",4550000,Suchdol
4+kk,115,50.1097,14.4463,"(50.1098, 14.4463)",11855856,Praha 7
2+kk,56,50.0135,14.3998,"(50.0136, 14.3998)",5409774,Praha 12
3+1,88,50.0382,14.3409,"(50.0382, 14.341)",4690000,Praha 13
2+kk,62,50.0706,14.3767,"(50.0706, 14.3768)",5600000,Praha 5
2+kk,42,50.075,14.4871,"(50.0751, 14.4871)",4200000,Praha 10
3+1,116,50.1422,14.3828,"(50.1423, 14.3828)",9250000,Suchdol
1+kk,33,50.0953,14.4535,"(50.0954, 14.4536)",5261000,Praha 8
2+kk,51,50.0774,14.4312,"(50.0775, 14.4313)",7100000,Praha 2
3+1,139,50.0778,14.4239,"(50.0778, 14.4239)",22500000,Praha 1
3+1,84,50.0552,14.4463,"(50.0553, 14.4463)",6890000,Praha 4
4+kk,127,50.0942,14.3673,"(50.0942, 14.3673)",17890000,Praha 6
1+kk,33,50.092,14.4496,"(50.0921, 14.4496)",5100000,Praha 8
2+kk,48,50.147,14.4731,"(50.147, 14.4731)",4658958,Dablice
3+1,128,50.0829,14.4302,"(50.0829, 14.4303)",17000000,Praha 1
4+1,162,50.078,14.4292,"(50.0781, 14.4292)",19890000,Praha 1
2+kk,68,50.1042,14.5124,"(50.1043, 14.5124)",5430000,Praha 9
3+kk,105,50.0638,14.3841,"(50.0638, 14.3842)",14890000,Praha 5
2+kk,62,50.0683,14.4042,"(50.0683, 14.4042)",8982000,Praha 5
2+1,60,50.1043,14.5854,"(50.1044, 14.5854)",5269000,Praha 14
1+kk,29,50.015,14.4604,"(50.0151, 14.4604)",3290000,Libus
4+1,163,50.1023,14.4096,"(50.1023, 14.4097)",19900000,Praha 6
1+kk,40,50.0135,14.3998,"(50.0136, 14.3998)",4319000,Praha 12
2+1,63,50.0559,14.4461,"(50.056, 14.4461)",7300000,Praha 4
2+kk,61,50.0405,14.5684,"(50.0406, 14.5685)",6190000,Praha 15
1+kk,30,50.0953,14.4535,"(50.0954, 14.4536)",4696000,Praha 8
3+kk,100,50.0563,14.2827,"(50.0564, 14.2827)",8300000,Zlicin
2+kk,63,50.0461,14.3034,"(50.0462, 14.3035)",6980000,Praha 13
4+kk,162,50.0408,14.3967,"(50.0408, 14.3967)",13725000,Praha 5
2+kk,52,50.0355,14.4107,"(50.0356, 14.4108)",4190000,Praha 4
2+kk,42,50.0355,14.4107,"(50.0356, 14.4108)",3290000,Praha 4
4+kk,100,50.0728,14.4636,"(50.0728, 14.4636)",8790000,Praha 10
3+kk,82,50.0953,14.4535,"(50.0954, 14.4536)",11261000,Praha 8
3+1,82,50.0317,14.3725,"(50.0317, 14.3726)",5500000,Praha 5
3+kk,125,50.0784,14.4446,"(50.0784, 14.4446)",18700000,Praha 2
2+kk,56,50.0325,14.3773,"(50.0326, 14.3773)",5900000,Praha 5
3+kk,89,50.0836,14.415,"(50.0837, 14.4151)",16890000,Praha 1
2+kk,68,50.0744,14.459,"(50.0744, 14.4591)",10200000,Praha 10
3+kk,83,50.1022,14.4347,"(50.1022, 14.4347)",9200000,Praha 7
5+1,161,50.0883,14.4162,"(50.0883, 14.4163)",28500000,Praha 1
4+kk,98,50.0909,14.2975,"(50.0909, 14.2975)",8527183,Praha 6
5+kk,110,50.083,14.4144,"(50.083, 14.4144)",19880000,Praha 1
3+kk,104,50.0693,14.4343,"(50.0693, 14.4344)",18500000,Praha 2
6-a-vice,215,50.092,14.4341,"(50.0921, 14.4341)",24900000,Praha 1
2+kk,125,49.9977,14.416,"(49.9977, 14.416)",7770000,Praha 12
4+kk,172,50.0659,14.5507,"(50.066, 14.5508)",10990000,Dolni Mecholupy
1+kk,26,50.0692,14.4397,"(50.0692, 14.4398)",3037000,Praha 2
1+kk,26,50.0682,14.4387,"(50.0683, 14.4388)",2860000,Praha 2
2+kk,47,50.0678,14.4567,"(50.0678, 14.4567)",2990000,Praha 10
3+kk,101,50.0678,14.4567,"(50.0678, 14.4567)",9790000,Praha 10
2+kk,47,50.1081,14.4402,"(50.1082, 14.4403)",4740000,Praha 7
3+1,69,50.0341,14.3858,"(50.0341, 14.3859)",4990000,Praha 5
3+kk,78,50.0857,14.3695,"(50.0857, 14.3696)",13000000,Praha 6
1+kk,37,50.0683,14.4042,"(50.0683, 14.4042)",5753000,Praha 5
1+kk,33,50.1081,14.4402,"(50.1082, 14.4403)",3490000,Praha 7
3+kk,97,50.0698,14.4169,"(50.0699, 14.417)",11900000,Praha 2
4+kk,110,50.0135,14.3998,"(50.0136, 14.3998)",10454000,Praha 12
2+kk,40,50.0902,14.3257,"(50.0903, 14.3257)",3990000,Praha 6
2+kk,77,50.1275,14.4081,"(50.1276, 14.4081)",6999000,Praha 8
3+kk,191,50.0668,14.3965,"(50.0668, 14.3966)",19900000,Praha 5
2+kk,60,50.0706,14.4341,"(50.0707, 14.4341)",8480000,Praha 2
3+kk,85,50.0786,14.4081,"(50.0787, 14.4081)",7900000,Praha 5
2+1,82,50.0601,14.4198,"(50.0601, 14.4198)",8800000,Praha 4
3+1,109,50.1206,14.4529,"(50.1207, 14.453)",10400000,Praha 8
4+kk,166,50.0485,14.4373,"(50.0486, 14.4374)",24700000,Praha 4
3+kk,71,50.0953,14.4535,"(50.0954, 14.4536)",9099999,Praha 8
3+kk,80,50.1401,14.3804,"(50.1402, 14.3805)",8900000,Suchdol
2+1,81,50.0726,14.404,"(50.0726, 14.4041)",7990000,Praha 5
3+1,120,50.076,14.4356,"(50.0761, 14.4356)",16900000,Praha 2
3+kk,74,50.1366,14.5128,"(50.1367, 14.5128)",6250000,Praha 18
3+1,90,50.0884,14.4004,"(50.0885, 14.4005)",13490000,Praha 1
1+1,41,50.1238,14.4958,"(50.1239, 14.4958)",3670000,Praha 9
2+kk,58,50.0953,14.4535,"(50.0954, 14.4536)",8378000,Praha 8
5+kk,170,50.0973,14.4283,"(50.0974, 14.4283)",16900000,Praha 7
4+kk,117,50.0956,14.4695,"(50.0956, 14.4696)",14517961,Praha 8
